"Date","winner","loser"
2016-02-04,"WinOut.net","Obey.Alliance"
2016-02-04,"Torpedo","AGG"
2016-02-04,"Ancient","Dynamo"
2016-02-04,"Solution","CPH Wolves"
2016-02-04,"E-frag.net","E-frag.net"
2016-02-04,"troublemak3rs","TBA"
2016-02-05,"KILLERFISH","Solution"
2016-02-05,"G2","Cloud9"
2016-02-05,"LDLC White","Epiphany Bolt"
2016-02-05,"KoN Sweden","KoN Denmark"
2016-02-05,"tba.ladies","ex-melty fe"
2016-02-05,"SK","ENCE"
2016-02-05,"KoN Denmark","KoN Norway"
2016-02-05,"Astralis","G2"
2016-02-05,"CPH Wolves","RCTIC"
2016-02-05,"Solution","troublemak3rs"
2016-02-05,"KoN Norway","KoN Finland"
2016-02-05,"SK","Empire"
2016-02-05,"WRTP","ALSEN fe"
2016-02-05,"ENCE","LDLC White"
2016-02-05,"Epiphany Bolt","Millenium"
2016-02-05,"Cloud9","Method"
2016-02-05,"ENCE","Millenium"
2016-02-05,"LDLC White","Epiphany Bolt"
2016-02-05,"Astralis","Method"
2016-02-05,"LDLC Blue","RCTIC"
2016-02-05,"CPH Wolves","Orgless"
2016-02-05,"LDLC Blue","CPH Wolves"
2016-02-05,"RCTIC","Orgless"
2016-02-05,"G2","Cloud9"
2016-02-05,"Games Academy","Tectonic"
2016-02-05,"NRG","Splyce"
2016-02-05,"Envy","CLG"
2016-02-05,"KILLERFISH","Vexed"
2016-02-05,"G2","ALTERNATE aTTaX"
2016-02-06,"Revolution","FLuffy Gangsters"
2016-02-06,"Dignitas","CLG"
2016-02-06,"LDLC White","ENCE"
2016-02-06,"YP Ladies","Orbit fe"
2016-02-06,"PENTA","Playing Ducks"
2016-02-06,"Arcade","eXplosive"
2016-02-06,"Envy","Astralis"
2016-02-06,"G1","XPC Ladies"
2016-02-06,"EYES ON U","EURONICS"
2016-02-06,"ENCE","CPH Wolves"
2016-02-06,"PARTY","8bit"
2016-02-06,"CLG","G2"
2016-02-06,"Playing Ducks","EURONICS"
2016-02-06,"PENTA","EYES ON U"
2016-02-06,"LDLC White","LDLC Blue"
2016-02-06,"Quest","Binary Dragons"
2016-02-06,"Envy","Cloud9"
2016-02-06,"YP","Ancient"
2016-02-07,"Refuse","nEophyte"
2016-02-07,"Arcade","Quest"
2016-02-07,"PENTA","EYES ON U"
2016-02-07,"Envy","Dignitas"
2016-02-07,"Arcade","PARTY"
2016-02-07,"ezkatka","Proskilled.White"
2016-02-07,"EYES ON U","Playing Ducks"
2016-02-07,"Quest","Revolution"
2016-02-07,"Refuse","Proskilled.White"
2016-02-07,"Astralis","CLG"
2016-02-07,"nEophyte","ezkatka"
2016-02-08,"Torpedo","ALTERNATE aTTaX"
2016-02-08,"E-frag.net","Method"
2016-02-08,"WRTP","G1"
2016-02-08,"DenDD","nerdRage"
2016-02-08,"RCTIC","YP"
2016-02-08,"tba.ladies","PENTA"
2016-02-08,"Torpedo","E-frag.net"
2016-02-08,"E-frag.net","YP Ladies"
2016-02-09,"Platinium","Granted"
2016-02-09,"Envy","SK"
2016-02-09,"ALTERNATE aTTaX","DenDD"
2016-02-09,"Envy","SK"
2016-02-09,"Torpedo","ENCE"
2016-02-09,"Space Soldiers","nEophyte"
2016-02-09,"Natus Vincere","Astralis"
2016-02-09,"SK","Dignitas"
2016-02-09,"Astralis","Natus Vincere"
2016-02-09,"Tricked","CPH Wolves"
2016-02-09,"WRTP","tba.ladies"
2016-02-09,"AGG","Mostly Harmless"
2016-02-09,"Splyce","Enemy"
2016-02-09,"QuetzaL","CLG Red"
2016-02-09,"Games Academy","Winterfox"
2016-02-09,"Ancient","E-frag.net"
2016-02-09,"FMESPORTS","CPH Wolves"
2016-02-09,"Platinium","ALTERNATE aTTaX"
2016-02-09,"Envy","Temp.no"
2016-02-10,"nevermind","KILLERFISH"
2016-02-10,"SK","Dignitas"
2016-02-10,"Empire","Lions"
2016-02-10,"FaZe","Virtus.pro"
2016-02-10,"FMESPORTS","Orgless"
2016-02-10,"ENCE","YP"
2016-02-10,"DenDD","Empire"
2016-02-10,"Temp.no","RCTIC"
2016-02-10,"Publiclir.se","FMESPORTS"
2016-02-10,"FaZe","Virtus.pro"
2016-02-10,"BEASTS","KILLERFISH"
2016-02-10,"Torpedo","Orgless"
2016-02-10,"QuackPack","PENTA"
2016-02-10,"CG","nevermind"
2016-02-10,"fan jävla","Lions"
2016-02-10,"G2","Astralis"
2016-02-10,"Tricked","k1ck"
2016-02-10,"Temp.no","AlienTech"
2016-02-10,"Dignitas","ALTERNATE aTTaX"
2016-02-10,"Astralis","G2"
2016-02-10,"OpTic","KKona"
2016-02-10,"Vault","WinOut.net"
2016-02-10,"OpTic","KKona"
2016-02-10,"Noble","ex-Astral Authority"
2016-02-10,"Selfless","Renegades"
2016-02-10,"Renegades","Selfless"
2016-02-11,"YP","nerdRage"
2016-02-11,"fnatic","Virtus.pro"
2016-02-11,"PENTA","BEASTS"
2016-02-11,"CG","DenDD"
2016-02-11,"mousesports","LDLC White"
2016-02-11,"fnatic","Virtus.pro"
2016-02-11,"Publiclir.se","Empire"
2016-02-11,"Optimum","RCTIC"
2016-02-11,"ENCE","Torpedo"
2016-02-11,"BEASTS","FMESPORTS"
2016-02-11,"Publiclir.se","nevermind"
2016-02-11,"PENTA","fan jävla"
2016-02-11,"SK","Natus Vincere"
2016-02-11,"Empire","QuackPack"
2016-02-11,"SK","Natus Vincere"
2016-02-11,"DenDD","Tricked"
2016-02-11,"Method","QuietPlease"
2016-02-11,"FlipSid3","CSGL"
2016-02-11,"Threats","MOTV"
2016-02-11,"QuetzaL","ex-Astral Authority"
2016-02-11,"ACE","WinOut.net"
2016-02-11,"Vault","Mostly Harmless"
2016-02-11,"NRG","Selfless"
2016-02-11,"Bee's Money Crew","Tectonic"
2016-02-11,"SteamAnalyst","Dreamboat"
2016-02-11,"Noble","Out of Nowhere"
2016-02-11,"QuetzaL","Noble"
2016-02-11,"RONIN","Dying Breed"
2016-02-11,"Selfless","NRG"
2016-02-11,"No ID","Vanquish"
2016-02-11,"ACE","RONIN"
2016-02-11,"ex-Astral Authority","Out of Nowhere"
2016-02-11,"Tectonic","Dreamboat"
2016-02-11,"WinOut.net","Dying Breed"
2016-02-11,"Mostly Harmless","Vanquish"
2016-02-11,"Liquid","Complexity"
2016-02-11,"Bee's Money Crew","SteamAnalyst"
2016-02-11,"Vault","No ID"
2016-02-11,"Complexity","Liquid"
2016-02-11,"DenDD","fan jävla"
2016-02-11,"Torpedo","Publiclir.se"
2016-02-11,"ENCE","QuackPack"
2016-02-11,"CG","BEASTS"
2016-02-11,"PENTA","YP"
2016-02-12,"KoN Denmark","KoN Sweden"
2016-02-12,"ALTERNATE aTTaX","LDLC White"
2016-02-12,"KoN Denmark","KoN Norway"
2016-02-12,"KoN Norway","KoN Finland"
2016-02-12,"Ancient","Method"
2016-02-12,"CSGL","Vexed"
2016-02-12,"Luminosity","Liquid"
2016-02-12,"Bee's Money Crew","QuetzaL"
2016-02-12,"Tempo Storm","Enemy"
2016-02-12,"Vault","ACE"
2016-02-12,"Luminosity","Liquid"
2016-02-12,"ex-Astral Authority","Tectonic"
2016-02-12,"Noble","WinOut.net"
2016-02-12,"Cloud9","CLG"
2016-02-12,"ex-Astral Authority","No ID"
2016-02-12,"WinOut.net","SteamAnalyst"
2016-02-12,"Noble","Mostly Harmless"
2016-02-12,"Tectonic","RONIN"
2016-02-12,"Cloud9","CLG"
2016-02-12,"HellRaisers","Vexed"
2016-02-12,"E-frag.net","ALTERNATE aTTaX"
2016-02-13,"E-frag.net","ALTERNATE aTTaX"
2016-02-13,"carboN","Energy"
2016-02-13,"ALTERNATE aTTaX","HellRaisers"
2016-02-13,"Aperture","Energy"
2016-02-13,"E-frag.net","CSGL"
2016-02-13,"Bravado","carboN"
2016-02-13,"FlipSid3","HellRaisers"
2016-02-13,"mousesports","E-frag.net"
2016-02-14,"CLG","Mild"
2016-02-14,"CG","ENCE"
2016-02-14,"DenDD","Publiclir.se"
2016-02-14,"DenDD","PENTA"
2016-02-14,"Publiclir.se","Torpedo"
2016-02-14,"mousesports","FlipSid3"
2016-02-14,"FlipSid3","E-frag.net"
2016-02-14,"dream[S]cape","EMC"
2016-02-14,"Bravado","Aperture"
2016-02-14,"Aperture","carboN"
2016-02-14,"CLG","Potato Streamers"
2016-02-14,"Tempo Storm","Complexity"
2016-02-14,"mousesports","FlipSid3"
2016-02-14,"Bravado","Aperture"
2016-02-15,"Epiphany Bolt","RCTIC"
2016-02-15,"LDLC White","QuietPlease"
2016-02-15,"LPDC","Relapse"
2016-02-15,"ENCE","DenDD"
2016-02-15,"Dignitas","Virtus.pro"
2016-02-15,"Orgless","CPH Wolves"
2016-02-15,"gBots","nerdRage"
2016-02-15,"LDLC Blue","XenoDragons"
2016-02-15,"Dignitas","Virtus.pro"
2016-02-15,"fnatic","G2"
2016-02-15,"Method","k1ck"
2016-02-15,"CL4NLESS","Torpedo"
2016-02-15,"fnatic","CPH Wolves"
2016-02-15,"DeToNator","QuietPlease"
2016-02-15,"T5","G2"
2016-02-15,"Attention","Mineski"
2016-02-15,"Tempo Storm","DeToNator"
2016-02-15,"Cloud9","Mineski"
2016-02-15,"Vault","Cloud9"
2016-02-15,"Tempo Storm","OpTic"
2016-02-15,"ex-Astral Authority","Bee's Money Crew"
2016-02-15,"Noble","CLG"
2016-02-15,"Tempo Storm","Noble"
2016-02-15,"ex-Astral Authority","ACE"
2016-02-15,"OpTic","Liquid"
2016-02-15,"Cloud9","QuetzaL"
2016-02-15,"Epiphany Bolt","Enemy"
2016-02-15,"LDLC White","Day Dreamers"
2016-02-16,"Torpedo","ENCE"
2016-02-16,"Publiclir.se","k1ck"
2016-02-16,"Envy","fnatic"
2016-02-16,"fnatic","CPH Wolves"
2016-02-16,"Astralis","Vexed"
2016-02-16,"CL4NLESS","Envy"
2016-02-16,"Torpedo","FlipSid3"
2016-02-16,"Publiclir.se","Epiphany Bolt"
2016-02-16,"Astralis","ENCE"
2016-02-16,"Vexed","Orgless"
2016-02-16,"DeToNator","FlipSid3"
2016-02-16,"T5","k1ck"
2016-02-16,"ex-Astral Authority","gBots"
2016-02-16,"Astralis","ALTERNATE aTTaX"
2016-02-16,"Vexed","Attention"
2016-02-16,"DeToNator","Attention"
2016-02-16,"T5","Bee's Money Crew"
2016-02-17,"AliGon","Temp.no"
2016-02-17,"NiP","Dignitas"
2016-02-17,"NiP","CPH Wolves"
2016-02-17,"Natus Vincere","ENCE"
2016-02-17,"PENTA","Dignitas"
2016-02-17,"Natus Vincere","Virtus.pro"
2016-02-17,"AliGon","FlipSid3"
2016-02-17,"Orgless","Virtus.pro"
2016-02-17,"Far East Boys","CeX"
2016-02-17,"Orgless","Ancient"
2016-02-17,"Devcat","Crooz Rascal Jester"
2016-02-17,"MVP Project","YP"
2016-02-17,"E-frag.net","Crooz Rascal Jester"
2016-02-17,"OpTic","Far East Boys"
2016-02-17,"OpTic","Nostalgie"
2016-02-17,"Tempo Storm","Splyce"
2016-02-17,"Luminosity","Splyce"
2016-02-17,"Luminosity","SteamAnalyst"
2016-02-17,"Ancient","Complexity"
2016-02-17,"AliGon","Complexity"
2016-02-17,"NiP","Orgless"
2016-02-18,"nerdRage","AlienTech"
2016-02-18,"E-frag.net","YP"
2016-02-18,"k1ck","Space Soldiers"
2016-02-18,"FlipSid3","E-frag.net"
2016-02-18,"MVP Project","Far East Boys"
2016-02-18,"Nostalgie","Ancient"
2016-02-18,"Devcat","MVP Project"
2016-02-18,"Tempo Storm","Splyce"
2016-02-18,"Selfless","Complexity"
2016-02-18,"Complexity","Selfless"
2016-02-18,"ex-Astral Authority","CLG Red"
2016-02-18,"Renegades","CLG"
2016-02-18,"Renegades","CLG"
2016-02-18,"PENTA","FlipSid3"
2016-02-18,"nerdRage","E-frag.net"
2016-02-18,"E-frag.net","Platinium"
2016-02-19,"KoN Sweden","KoN Denmark"
2016-02-19,"FlipSid3","Nostalgie"
2016-02-19,"fnatic","gBots"
2016-02-19,"Preparation","Optimum"
2016-02-19,"AlienTech","Galatics"
2016-02-19,"KoN Sweden","KoN Norway"
2016-02-19,"DollarHouse","Rize"
2016-02-19,"Vexed","x6tence"
2016-02-19,"KoN Norway","KoN Finland"
2016-02-19,"fnatic","Envy"
2016-02-19,"Optimum","Temporary orgless"
2016-02-19,"Dignitas","Vexed"
2016-02-19,"OnlineRol","Red Panda"
2016-02-19,"Orgless","FlipSid3"
2016-02-19,"Astralis","x6tence"
2016-02-19,"Publiclir.se","Preparation"
2016-02-19,"RCTIC","Torpedo"
2016-02-19,"Dignitas","gBots"
2016-02-19,"Astralis","G2"
2016-02-19,"Preparation","Temporary orgless"
2016-02-19,"RCTIC","Rize"
2016-02-19,"Envy","fnatic"
2016-02-19,"Torpedo","DollarHouse"
2016-02-19,"Publiclir.se","Optimum"
2016-02-19,"AGG","Splyce"
2016-02-19,"Selfless","Bee's Money Crew"
2016-02-19,"Nostalgie","E-frag.net"
2016-02-19,"Galatics","Imperio Multimedia"
2016-02-20,"Games4u","TzatzikiKlubben"
2016-02-20,"BX3","Recursive"
2016-02-20,"fnatic","Envy"
2016-02-20,"G2","Astralis"
2016-02-20,"Recursive","Property fe"
2016-02-20,"Games4u","LGB fe"
2016-02-20,"Dignitas","Vexed"
2016-02-20,"Astralis","Envy"
2016-02-20,"Risky","nxl"
2016-02-20,"DenDD","BX3"
2016-02-20,"Raepmashaekel","TzatzikiKlubben"
2016-02-20,"fnatic","Dignitas"
2016-02-20,"MiTH","dream[S]cape"
2016-02-20,"MiTH","Risky"
2016-02-20,"G2","Vexed"
2016-02-20,"DenDD","Property fe"
2016-02-20,"Raepmashaekel","LGB fe"
2016-02-20,"dream[S]cape","nxl"
2016-02-20,"Envy","gBots"
2016-02-20,"BX3","Recursive"
2016-02-20,"TzatzikiKlubben","Games4u"
2016-02-20,"G2","x6tence"
2016-02-20,"Liquid","Noble"
2016-02-20,"Team zews","Team peacemaker"
2016-02-20,"Torpedo","DollarHouse"
2016-02-21,"RCTIC","BX3"
2016-02-21,"Torpedo","Preparation"
2016-02-21,"AGG","Selfless"
2016-02-21,"Tempo Storm","Echo Fox"
2016-02-21,"Liquid","ex-Astral Authority"
2016-02-21,"Renegades","TSM"
2016-02-21,"CLG","Just Make it Fast"
2016-02-21,"Cloud9","Random 5"
2016-02-21,"BX3","Torpedo"
2016-02-21,"RCTIC","Preparation"
2016-02-21,"NRG","Splyce"
2016-02-21,"OpTic","Torment"
2016-02-21,"fnatic","Astralis"
2016-02-21,"Torpedo","Raepmashaekel"
2016-02-21,"Preparation","DenDD"
2016-02-21,"fnatic","Astralis"
2016-02-21,"Threats","Expendables"
2016-02-21,"Refuse","Cl4nless"
2016-02-21,"MVP.karnal","J2G"
2016-02-21,"fnatic","G2"
2016-02-21,"BX3","Publiclir.se"
2016-02-21,"J2G","Expendables"
2016-02-21,"Barrage","Infused"
2016-02-21,"fnatic","G2"
2016-02-21,"RCTIC","Games4u"
2016-02-21,"MVP.karnal","Threats"
2016-02-21,"Astralis","Dignitas"
2016-02-21,"Astralis","Dignitas"
2016-02-22,"Pixel","GIANT5"
2016-02-22,"SK","Epiphany Bolt"
2016-02-22,"Platinium","LDLC White"
2016-02-22,"Deathtrap","GIANT5"
2016-02-22,"Space Jam","Empire"
2016-02-22,"Pixel","PhysX"
2016-02-22,"E-frag.net","Orgless"
2016-02-22,"Deathtrap","Pixel"
2016-02-22,"SK","PENTA"
2016-02-22,"GIANT5","PhysX"
2016-02-22,"dream[S]cape","Risky"
2016-02-22,"Devcat","DeToNator"
2016-02-22,"CLG","Cloud9"
2016-02-22,"Complexity","Vault"
2016-02-22,"Tempo Storm","Cloud9"
2016-02-22,"Liquid","CLG"
2016-02-22,"Tempo Storm","OpTic"
2016-02-22,"Cloud9","NRG"
2016-02-22,"Liquid","Renegades"
2016-02-22,"CLG","AGG"
2016-02-22,"Pixel","k1ck"
2016-02-22,"SK","Imperio Multimedia"
2016-02-23,"ALTERNATE aTTaX","Granted"
2016-02-23,"Envy","Virtus.pro"
2016-02-23,"PENTA","PANTERS"
2016-02-23,"iNation","aZ"
2016-02-23,"k1ck","Galatics"
2016-02-23,"XPC","iNation"
2016-02-23,"Virtus.pro","Envy"
2016-02-23,"aZ","ENRAGE"
2016-02-23,"CPH Wolves","ALTERNATE aTTaX"
2016-02-23,"mousesports","Orgless"
2016-02-23,"eXtatus","Empire"
2016-02-23,"XPC","G2"
2016-02-23,"G2","ANOX"
2016-02-23,"iNation","ENRAGE"
2016-02-23,"ENCE","mousesports"
2016-02-23,"J2G","aZ"
2016-02-23,"QuetzaL","Vexed"
2016-02-23,"NRG","Threats"
2016-02-23,"Obey.Alliance","Noble"
2016-02-23,"OpTic","Winterfox"
2016-02-23,"Dead Pixels","Tempo Storm"
2016-02-23,"ALTERNATE aTTaX","ACE"
2016-02-23,"Envy","E-frag.net"
2016-02-23,"PENTA","PANTERS"
2016-02-23,"iNation","WaRLegenD"
2016-02-24,"GameAgents","Platinium"
2016-02-24,"fnatic","SK"
2016-02-24,"Astralis","Virtus.pro"
2016-02-24,"CSGL","PENTA"
2016-02-24,"Deathtrap","Pixel"
2016-02-24,"Astralis","Virtus.pro"
2016-02-24,"gBots","AlienTech"
2016-02-24,"NiP","Natus Vincere"
2016-02-24,"ENCE","ALTERNATE aTTaX"
2016-02-24,"CSGL","Gambit"
2016-02-24,"LGR","Space Jam"
2016-02-24,"Pixel","XPC"
2016-02-24,"Natus Vincere","NiP"
2016-02-24,"Deathtrap","iNation"
2016-02-24,"Selfless","KKona"
2016-02-24,"TSM","ex-Astral Authority"
2016-02-24,"Obey.Alliance","Evil Nation"
2016-02-24,"Selfless","KKona"
2016-02-24,"Winterfox","Splyce"
2016-02-24,"Splyce","Winterfox"
2016-02-24,"NiP","mousesports"
2016-02-24,"CSGL","PANTERS"
2016-02-24,"NiP","mousesports"
2016-02-24,"GameAgents","E-frag.net"
2016-02-24,"fnatic","SK"
2016-02-25,"ENCE","CPH Wolves"
2016-02-25,"Torpedo","Orgless"
2016-02-25,"fnatic","Astralis"
2016-02-25,"k1ck","nerdRage"
2016-02-25,"k1ck","LDLC White"
2016-02-25,"Empire","Enso"
2016-02-25,"MVP Project","T5"
2016-02-25,"Liquid","NRG"
2016-02-25,"CLG","QuetzaL"
2016-02-25,"NRG","Liquid"
2016-02-25,"Bee's Money Crew","myRevenge"
2016-02-25,"OpTic","AGG"
2016-02-25,"Selfless","CLG"
2016-02-25,"CLG","Selfless"
2016-02-25,"AlienTech","Imperio Multimedia"
2016-02-25,"fnatic","SK"
2016-02-25,"CLG","E-frag.net"
2016-02-25,"NRG","CSGL"
2016-02-26,"mousesports","HellRaisers"
2016-02-26,"Liquid","YP"
2016-02-26,"KoN Sweden","KoN Norway"
2016-02-26,"G2","Tempo Storm"
2016-02-26,"KoN Norway","KoN Denmark"
2016-02-26,"FlipSid3","Selfless"
2016-02-26,"KoN Norway","KoN Finland"
2016-02-26,"mousesports","YP"
2016-02-26,"HellRaisers","Liquid"
2016-02-26,"MVP.karnal","dream[S]cape"
2016-02-26,"DeToNator","T5"
2016-02-26,"Devcat","EMC"
2016-02-26,"J2G","MiTH"
2016-02-26,"Obey.Alliance","VexX"
2016-02-27,"Gambit","Renegades"
2016-02-27,"Cloud9","Dignitas"
2016-02-27,"ALTERNATE aTTaX","Torpedo"
2016-02-27,"Orgless","AliGon"
2016-02-27,"Splyce","Vexed"
2016-02-27,"AliGon","Torpedo"
2016-02-27,"ALTERNATE aTTaX","Orgless"
2016-02-27,"CLG","SK"
2016-02-27,"Orgless","Torpedo"
2016-02-27,"ALTERNATE aTTaX","AliGon"
2016-02-27,"G2","FlipSid3"
2016-02-27,"MVP.karnal","J2G"
2016-02-27,"Tempo Storm","Selfless"
2016-02-27,"Ancient","ENCE"
2016-02-27,"Preparation","A LA MIX"
2016-02-27,"dream[S]cape","MiTH"
2016-02-27,"Preparation","ENCE"
2016-02-27,"Ancient","A LA MIX"
2016-02-27,"ENCE","A LA MIX"
2016-02-27,"Preparation","Ancient"
2016-02-27,"Gambit","Cloud9"
2016-02-27,"Renegades","Dignitas"
2016-02-27,"Splyce","CLG"
2016-02-27,"Vexed","SK"
2016-02-28,"Ancient","Orgless"
2016-02-28,"CLG","Vexed"
2016-02-28,"Preparation","ALTERNATE aTTaX"
2016-02-28,"Ancient","k1ck"
2016-02-28,"FlipSid3","Publiclir.se"
2016-02-28,"MVP.karnal","ALTERNATE aTTaX"
2016-02-28,"Orgless","Tempo Storm"
2016-02-28,"dream[S]cape","dream[S]cape"
2016-02-28,"Liquid","Preparation"
2016-02-28,"Ancient","J2G"
2016-02-28,"CLG","HellRaisers"
2016-02-29,"LDLC Blue","Epiphany Bolt"
2016-02-29,"MVP Project","Devcat"
2016-02-29,"Cloud9","Publiclir.se"
2016-02-29,"LDLC Blue","Galatics"
2016-02-29,"MVP Project","Renegades"
2016-03-01,"ex-Astral Authority","nerdRage"
2016-03-01,"ACE","Imperio Multimedia"
2016-03-01,"ex-Astral Authority","Noble"
2016-03-01,"ACE","Dynamo"
2016-03-02,"k1ck","AlienTech"
2016-03-02,"fnatic","mousesports"
2016-03-02,"NiP","Luminosity"
2016-03-02,"Natus Vincere","TheMongolz"
2016-03-02,"Luminosity","mousesports"
2016-03-02,"FlipSid3","CSGL"
2016-03-02,"fnatic","TheMongolz"
2016-03-02,"Natus Vincere","NiP"
2016-03-02,"Luminosity","TheMongolz"
2016-03-02,"FlipSid3","SK"
2016-03-02,"fnatic","NiP"
2016-03-02,"Natus Vincere","mousesports"
2016-03-02,"Luminosity","fnatic"
2016-03-02,"NiP","TheMongolz"
2016-03-02,"MVP Project","DeToNator"
2016-03-02,"mousesports","TheMongolz"
2016-03-02,"Luminosity","Natus Vincere"
2016-03-02,"fnatic","Natus Vincere"
2016-03-02,"mousesports","NiP"
2016-03-02,"Obey.Alliance","ANIXIA"
2016-03-02,"ALTERNATE aTTaX","Torpedo"
2016-03-03,"E-frag.net","Envy"
2016-03-03,"Astralis","Tempo Storm"
2016-03-03,"Virtus.pro","FaZe"
2016-03-03,"Virtus.pro","E-frag.net"
2016-03-03,"Tempo Storm","Envy"
2016-03-03,"Tempo Storm","Virtus.pro"
2016-03-03,"Astralis","FaZe"
2016-03-03,"Envy","FaZe"
2016-03-03,"Astralis","E-frag.net"
2016-03-03,"FaZe","Tempo Storm"
2016-03-03,"Virtus.pro","Envy"
2016-03-03,"Tempo Storm","E-frag.net"
2016-03-03,"Astralis","Virtus.pro"
2016-03-03,"Astralis","Envy"
2016-03-03,"FaZe","E-frag.net"
2016-03-03,"NRG","CLG"
2016-03-03,"Bee's Money Crew","AGG"
2016-03-03,"Selfless","TSM"
2016-03-04,"Luminosity","Natus Vincere"
2016-03-04,"KoN Sweden","KoN Finland"
2016-03-04,"KoN Finland","KoN Norway"
2016-03-04,"KoN Finland","KoN Denmark"
2016-03-04,"fnatic","Virtus.pro"
2016-03-04,"Natus Vincere","Tempo Storm"
2016-03-04,"Selfless","NRG"
2016-03-04,"Liquid","Complexity"
2016-03-05,"LDLC fe","Exertus fe"
2016-03-05,"fnatic","Luminosity"
2016-03-05,"LDLC fe","Elysium"
2016-03-05,"CLG Red","Exertus fe"
2016-03-05,"Exertus fe","LDLC fe"
2016-03-05,"CLG Red","Elysium"
2016-03-05,"Karma","Millenium fe"
2016-03-05,"Millenium fe","Santos.DeX fe"
2016-03-05,"WRTP","Karma"
2016-03-05,"WRTP","Santos.DeX fe"
2016-03-05,"Karma","Millenium fe"
2016-03-05,"fnatic","Astralis"
2016-03-06,"WRTP","CLG Red"
2016-03-06,"Publiclir.se","Imperio Multimedia"
2016-03-06,"Publiclir.se","gBots"
2016-03-06,"YP","Method"
2016-03-06,"WRTP","LDLC fe"
2016-03-06,"Empire","eXplosive"
2016-03-06,"CLG Red","Karma"
2016-03-06,"Tempest","Revolution"
2016-03-07,"LDLC Blue","Dead Pixels"
2016-03-07,"k1ck","nerdRage"
2016-03-07,"HellRaisers","Empire"
2016-03-07,"Tempest","Binary Dragons"
2016-03-07,"Orgless","FlipSid3"
2016-03-07,"Empire","YP"
2016-03-07,"Binary Dragons","FLuffy Gangsters"
2016-03-08,"ex-Epiphany","Deathtrap"
2016-03-08,"Epsilon","Torpedo"
2016-03-08,"NiP","FaZe"
2016-03-08,"NiP","FaZe"
2016-03-08,"ex-Epiphany","eXplosive"
2016-03-08,"Deathtrap","GameAgents"
2016-03-08,"Space Soldiers","Arcade"
2016-03-08,"Astralis","mousesports"
2016-03-08,"ENCE","PENTA"
2016-03-08,"Astralis","mousesports"
2016-03-08,"Space Soldiers","Epsilon"
2016-03-08,"Arcade","Little Einsteins"
2016-03-08,"OpTic","Liquid"
2016-03-08,"DenDD","Publiclir.se"
2016-03-08,"Platinium","LPDC"
2016-03-08,"Empire","AlienTech"
2016-03-08,"ex-Epiphany","k1ck"
2016-03-08,"Epsilon","Tempest"
2016-03-09,"G2","Envy"
2016-03-09,"miMo","Revival"
2016-03-09,"SK","GameAgents"
2016-03-09,"ALTERNATE aTTaX","DenDD"
2016-03-09,"G2","Envy"
2016-03-09,"Bpro","AlienTech"
2016-03-09,"Revival","ggrabb"
2016-03-09,"NiP","Virtus.pro"
2016-03-09,"Dignitas","Team123"
2016-03-09,"miMo","WE GOT GAME"
2016-03-09,"Team123","ALTERNATE aTTaX"
2016-03-09,"FlipSid3","Preparation"
2016-03-09,"Gambit","FMESPORTS"
2016-03-09,"NiP","Virtus.pro"
2016-03-09,"Dignitas","DenDD"
2016-03-09,"Orbit","Reason"
2016-03-09,"AlienTech","Nordics"
2016-03-09,"Splyce","KKona"
2016-03-09,"Obey.Alliance","8 Minded"
2016-03-09,"Splyce","KKona"
2016-03-09,"OpTic","Selfless"
2016-03-09,"Renegades","Winterfox"
2016-03-09,"Renegades","Winterfox"
2016-03-10,"Natus Vincere","FaZe"
2016-03-10,"E-frag.net","SK"
2016-03-10,"PENTA","AR8"
2016-03-10,"Orgless","YP"
2016-03-10,"Natus Vincere","FaZe"
2016-03-10,"E-frag.net","Method"
2016-03-10,"PENTA","noKappa"
2016-03-10,"Ancient","SK"
2016-03-10,"Dignitas","FMESPORTS"
2016-03-10,"Envy","FlipSid3"
2016-03-10,"AR8","BLUEJAYS"
2016-03-10,"Tricked","LDLC Blue"
2016-03-10,"Envy","FlipSid3"
2016-03-10,"Refuse","CL4NLESS"
2016-03-10,"SK","Method"
2016-03-10,"Ancient","E-frag.net"
2016-03-10,"ELTZ","RE:TAKE"
2016-03-10,"ANOX","Reason"
2016-03-10,"Winterfox","Luminosity"
2016-03-10,"AGG","8 Minded"
2016-03-10,"Luminosity","Winterfox"
2016-03-10,"OpTic","Cloud9"
2016-03-10,"OpTic","Cloud9"
2016-03-10,"ALTERNATE aTTaX","Team123"
2016-03-11,"eSuba","LeiSuRe"
2016-03-11,"Recursive","DEEZ NUTS"
2016-03-11,"KoN Sweden","KoN Finland"
2016-03-11,"nerdRage","Galatics"
2016-03-11,"KoN Finland","KoN Denmark"
2016-03-11,"eSuba","RCTIC"
2016-03-11,"LeiSuRe","FLuffy Gangsters"
2016-03-11,"KoN Denmark","KoN Norway"
2016-03-11,"DEEZ NUTS","eXplosive"
2016-03-11,"Recursive","CSGO2x"
2016-03-11,"NRG","Complexity"
2016-03-11,"KKona","Splyce"
2016-03-11,"NRG","Complexity"
2016-03-11,"Luminosity","NRG"
2016-03-11,"Tempo Storm","8 Minded"
2016-03-11,"Luminosity","NRG"
2016-03-11,"Publiclir.se","AlienTech"
2016-03-11,"Refuse","ELTZ"
2016-03-12,"SK","FaZe"
2016-03-12,"rEAK","BlackSheep"
