"Date","winner","loser"
"Results for December 28th 2020","ex-ETHEREAL","Lyngby Vikings"
"Results for December 28th 2020","Winstrike","MBAPPEEK"
"Results for December 28th 2020","Project X","Lilmix"
"Results for December 27th 2020","Budapest Five","Lilmix"
"Results for December 27th 2020","Project X","The Incas"
"Results for December 27th 2020","ex-ETHEREAL","VP.Prodigy"
"Results for December 27th 2020","Nexus","MBAPPEEK"
"Results for December 25th 2020","Winstrike","9INE"
"Results for December 25th 2020","NAVI Junior","Project X"
"Results for December 24th 2020","Lyngby Vikings","Espada"
"Results for December 24th 2020","Winstrike","ex-ETHEREAL"
"Results for December 24th 2020","9INE","Unique"
"Results for December 23rd 2020","ex-ETHEREAL","1WIN"
"Results for December 23rd 2020","Project X","Lyngby Vikings"
"Results for December 23rd 2020","Winstrike","BEZ ZP"
"Results for December 23rd 2020","Winstrike","SG.pro"
"Results for December 22nd 2020","ex-ETHEREAL","VP.Prodigy"
"Results for December 22nd 2020","Lilmix","VP.Prodigy"
"Results for December 22nd 2020","BEZ ZP","GROND"
"Results for December 22nd 2020","Sinners","Nexus"
"Results for December 21st 2020","1WIN","NOFEAR5"
"Results for December 21st 2020","NAVI Junior","Espada"
"Results for December 21st 2020","Winstrike","Galaxy Racer fe"
"Results for December 21st 2020","HellRaisers","MBAPPEEK"
"Results for December 21st 2020","Budapest Five","ex-ETHEREAL"
"Results for December 21st 2020","Yeah","RBG"
"Results for December 21st 2020","DETONA","9z"
"Results for December 21st 2020","RBG","Rebirth"
"Results for December 21st 2020","Yeah","timbermen"
"Results for December 20th 2020","CLG Red","Dignitas fe"
"Results for December 20th 2020","SKADE","Project X"
"Results for December 20th 2020","Broderna145","Lilmix"
"Results for December 20th 2020","Astralis","Liquid"
"Results for December 20th 2020","XSET","Galaxy Racer fe"
"Results for December 20th 2020","Project X","EC Kyiv"
"Results for December 20th 2020","SKADE","Mixich"
"Results for December 20th 2020","NAVI Junior","Winstrike"
"Results for December 20th 2020","Lilmix","Falkn"
"Results for December 20th 2020","Wolsung","atputies"
"Results for December 20th 2020","Lilmix","9INE"
"Results for December 20th 2020","Broderna145","Wochhs"
"Results for December 20th 2020","K23","Movistar Riders"
"Results for December 20th 2020","GTZ Bulls","Baecon"
"Results for December 20th 2020","Budapest Five","SG.pro"
"Results for December 20th 2020","DETONA","Havan Liberty"
"Results for December 19th 2020","9z","Sharks"
"Results for December 19th 2020","GamerLegion","Pompa"
"Results for December 19th 2020","Liquid","BIG"
"Results for December 19th 2020","x6tence","Real Betis"
"Results for December 19th 2020","Dignitas fe","Violent Roses"
"Results for December 19th 2020","LDLC","9INE"
"Results for December 19th 2020","Baecon","Rhyno"
"Results for December 19th 2020","Astralis","Natus Vincere"
"Results for December 19th 2020","Pompa","MyGame"
"Results for December 19th 2020","Budapest Five","BEE"
"Results for December 19th 2020","Galaxy Racer fe","NOFEAR5"
"Results for December 19th 2020","GamerLegion","Deportivo"
"Results for December 19th 2020","Real Betis","Giants"
"Results for December 19th 2020","Illuminar","Singularity"
"Results for December 19th 2020","K23","sAw"
"Results for December 19th 2020","Baecon","Giants"
"Results for December 19th 2020","GTZ Bulls","Rhyno"
"Results for December 19th 2020","x6tence","OFFSET"
"Results for December 19th 2020","Rhyno","Baecon"
"Results for December 19th 2020","GTZ Bulls","Giants"
"Results for December 19th 2020","Movistar Riders","NAVI Junior"
"Results for December 19th 2020","Sharks","Bravos"
"Results for December 19th 2020","Havan Liberty","RED Canids"
"Results for December 18th 2020","FATE","9INE"
"Results for December 18th 2020","Dignitas fe","Cyberstorm Blue"
"Results for December 18th 2020","Illuminar","Nordavind"
"Results for December 18th 2020","Liquid","FURIA"
"Results for December 18th 2020","Sharks","SWS"
"Results for December 18th 2020","Winstrike","Singularity"
"Results for December 18th 2020","LDLC","Movistar Riders"
"Results for December 18th 2020","Astralis","Vitality"
"Results for December 18th 2020","NOFEAR5","Project C"
"Results for December 18th 2020","RED Canids","W7M"
"Results for December 18th 2020","XSET","Galaxy Racer fe"
"Results for December 18th 2020","sAw","Budapest Five"
"Results for December 18th 2020","Project X","Unique"
"Results for December 18th 2020","K23","SKADE"
"Results for December 18th 2020","DETONA","Bravos"
"Results for December 18th 2020","9z","Havan Liberty"
"Results for December 18th 2020","DETONA","SWS"
"Results for December 17th 2020","LDLC","Lyngby Vikings"
"Results for December 17th 2020","Nordavind","Vexed"
"Results for December 17th 2020","Bravos","Sharks"
"Results for December 17th 2020","Natus Vincere","Liquid"
"Results for December 17th 2020","CLG Red","Violent Roses"
"Results for December 17th 2020","Havan Liberty","W7M"
"Results for December 17th 2020","FTW","OFFSET"
"Results for December 17th 2020","9z","RED Canids"
"Results for December 17th 2020","FURIA","Heroic"
"Results for December 17th 2020","NOFEAR5","pride"
"Results for December 17th 2020","Illuminar","Budapest Five"
"Results for December 17th 2020","Project C","Arcane Wave"
"Results for December 17th 2020","NAVI Junior","HellRaisers"
"Results for December 17th 2020","Nexus","ex-ETHEREAL"
"Results for December 17th 2020","Movistar Riders","Endpoint"
"Results for December 16th 2020","River Plate","Meta"
"Results for December 16th 2020","9INE","Nordavind"
"Results for December 16th 2020","Singularity","LDLC"
"Results for December 16th 2020","BIG","Astralis"
"Results for December 16th 2020","Galaxy Racer fe","NOFEAR5"
"Results for December 16th 2020","FATE","Illuminar"
"Results for December 16th 2020","Vitality","Complexity"
"Results for December 16th 2020","CLG Red","Cyberstorm Blue"
"Results for December 16th 2020","Gambit","forZe"
"Results for December 16th 2020","Liquid","Heroic"
"Results for December 16th 2020","HellRaisers","Espada"
"Results for December 16th 2020","forZe","Cloud9"
"Results for December 16th 2020","Gambit","K23"
"Results for December 15th 2020","Illuminar","Lyngby Vikings"
"Results for December 15th 2020","Winstrike","AVEZ"
"Results for December 15th 2020","Winstrike","Vexed"
"Results for December 15th 2020","Violent Roses","Dignitas fe"
"Results for December 15th 2020","Natus Vincere","FURIA"
"Results for December 15th 2020","9INE","Movistar Riders"
"Results for December 15th 2020","LDLC","Budapest Five"
"Results for December 15th 2020","Astralis","Complexity"
"Results for December 15th 2020","XSET","Arcane Wave"
"Results for December 15th 2020","Movistar Riders","Espada"
"Results for December 15th 2020","BIG","Vitality"
"Results for December 15th 2020","Sinners","Lyngby Vikings"
"Results for December 15th 2020","Gambit","Dignitas"
"Results for December 15th 2020","K23","Endpoint"
"Results for December 15th 2020","MBAPPEEK","VP.Prodigy"
"Results for December 15th 2020","Cloud9","PACT"
"Results for December 15th 2020","Movistar Riders","BEZ ZP"
"Results for December 15th 2020","forZe","ex-ETHEREAL"
"Results for December 14th 2020","ex-ETHEREAL","9INE"
"Results for December 14th 2020","sAw","Espada"
"Results for December 14th 2020","K23","AVEZ"
"Results for December 14th 2020","Dignitas","Wisla Krakow"
"Results for December 14th 2020","Sinners","Lilmix"
"Results for December 14th 2020","sAw","BEZ ZP"
"Results for December 14th 2020","PACT","Illuminar"
"Results for December 14th 2020","ex-ETHEREAL","x6tence"
"Results for December 14th 2020","Espada","Movistar Riders"
"Results for December 14th 2020","BOOM","Isurus"
"Results for December 13th 2020","Vitality","Astralis"
"Results for December 13th 2020","Virtus.pro","sAw"
"Results for December 13th 2020","BOOM","Furious"
"Results for December 13th 2020","PACT","Case"
"Results for December 13th 2020","PACT","Izako Boars"
"Results for December 13th 2020","Isurus","Furious"
"Results for December 13th 2020","Astralis","BIG"
"Results for December 13th 2020","Case","HONORIS"
"Results for December 13th 2020","ZIGMA","HZ"
"Results for December 13th 2020","Furious","9z"
"Results for December 12th 2020","Virtus.pro","Gambit"
"Results for December 12th 2020","Astralis","Natus Vincere"
"Results for December 12th 2020","Isurus","Infinity"
"Results for December 12th 2020","Vitality","BIG"
"Results for December 12th 2020","sAw","forZe"
"Results for December 12th 2020","NAVI Junior","ALTERNATE aTTaX"
"Results for December 12th 2020","Lynn Vision","Mazaalai"
"Results for December 12th 2020","NAVI Junior","Copenhagen Flames"
"Results for December 12th 2020","ZIGMA","Invictus"
"Results for December 11th 2020","sAw","Nemiga"
"Results for December 11th 2020","River Plate","Coscu Army"
"Results for December 11th 2020","Natus Vincere","FURIA"
"Results for December 11th 2020","Coscu Army","Wygers AR"
"Results for December 11th 2020","Virtus.pro","Espada"
"Results for December 11th 2020","Astralis","G2"
"Results for December 11th 2020","River Plate","Meta"
"Results for December 11th 2020","PACT","Copenhagen Flames"
"Results for December 11th 2020","K23","ALTERNATE aTTaX"
"Results for December 11th 2020","VP.Prodigy","Winstrike"
"Results for December 11th 2020","Gambit","Nemiga"
"Results for December 11th 2020","Dignitas","Espada"
"Results for December 11th 2020","forZe","Virtus.pro"
"Results for December 11th 2020","ALTERNATE aTTaX","NAVI Junior"
"Results for December 11th 2020","x6tence","Heretics"
"Results for December 11th 2020","HellRaisers","Project X"
"Results for December 11th 2020","K23","Copenhagen Flames"
"Results for December 11th 2020","HZ","ZIGMA"
"Results for December 11th 2020","Invictus","Lynn Vision"
"Results for December 11th 2020","BIG","G2"
"Results for December 10th 2020","sAw","Movistar Riders"
"Results for December 10th 2020","Espada","XSET"
"Results for December 10th 2020","Vitality","Natus Vincere"
"Results for December 10th 2020","AVEZ","Dignitas"
"Results for December 10th 2020","SKADE","Galaxy Racer"
"Results for December 10th 2020","forZe","Espada"
"Results for December 10th 2020","K23","Copenhagen Flames"
"Results for December 10th 2020","Gambit","Movistar Riders"
"Results for December 10th 2020","FURIA","OG"
"Results for December 10th 2020","Nemiga","sAw"
"Results for December 10th 2020","x6tence","Lilmix"
"Results for December 10th 2020","ex-ETHEREAL","Espada"
"Results for December 10th 2020","Galaxy Racer","Heretics"
"Results for December 10th 2020","Nexus","NAVI Junior"
"Results for December 10th 2020","Virtus.pro","XSET"
"Results for December 10th 2020","PACT","ALTERNATE aTTaX"
"Results for December 10th 2020","Lyngby Vikings","Unique"
"Results for December 10th 2020","Heretics","Apeks"
"Results for December 10th 2020","Kinship","Rise"
"Results for December 10th 2020","SKDC","ex-Recon 5"
"Results for December 9th 2020","Wisla Krakow","K23"
"Results for December 9th 2020","Astralis","mousesports"
"Results for December 9th 2020","ALTERNATE aTTaX","PENTA"
"Results for December 9th 2020","Illuminar","AVEZ"
"Results for December 9th 2020","BIG","OG"
"Results for December 9th 2020","ex-ETHEREAL","ALTERNATE aTTaX"
"Results for December 9th 2020","Espada","PACT"
"Results for December 9th 2020","G2","FURIA"
"Results for December 9th 2020","Dignitas","x6tence"
"Results for December 9th 2020","MBAPPEEK","Budapest Five"
"Results for December 9th 2020","HellRaisers","SKADE"
"Results for December 9th 2020","Copenhagen Flames","Lilmix"
"Results for December 9th 2020","HellRaisers","Heretics"
"Results for December 9th 2020","Espada","SG.pro"
"Results for December 9th 2020","Heretics","Saints"
"Results for December 9th 2020","SKADE","Galaxy Racer"
"Results for December 9th 2020","Apeks","Izako Boars"
"Results for December 9th 2020","GSG9","Rise"
"Results for December 9th 2020","Kinship","Vireo.pro"
"Results for December 9th 2020","ex-Recon 5","ex-ImPerium"
"Results for December 9th 2020","GGPR","SKDC"
"Results for December 9th 2020","Natus Vincere","Astralis"
"Results for December 8th 2020","9INE","MAESTRO"
"Results for December 8th 2020","Rhein Neckar","Unicorns of Love"
"Results for December 8th 2020","K23","Dignitas"
"Results for December 8th 2020","Vitality","mousesports"
"Results for December 8th 2020","Illuminar","x6tence"
"Results for December 8th 2020","Vexed","Wygers"
"Results for December 8th 2020","Unique","Saints"
"Results for December 8th 2020","Wisla Krakow","Lilmix"
"Results for December 8th 2020","AVEZ","Espada"
"Results for December 8th 2020","Budapest Five","forZe"
"Results for December 8th 2020","Saints","HONORIS"
"Results for December 8th 2020","PACT","Izako Boars"
"Results for December 8th 2020","Copenhagen Flames","Apeks"
"Results for December 8th 2020","Unique","Saints"
"Results for December 8th 2020","Budapest Five","Illuminar"
"Results for December 8th 2020","ex-ETHEREAL","Saints"
"Results for December 8th 2020","ALTERNATE aTTaX","Heretics"
"Results for December 8th 2020","Rise","ex-ImPerium"
"Results for December 8th 2020","SKDC","Vireo.pro"
"Results for December 8th 2020","GSG9","ex-Recon 5"
"Results for December 8th 2020","GGPR","Kinship"
"Results for December 7th 2020","Illuminar","MAESTRO"
"Results for December 7th 2020","LDLC","Vexed"
"Results for December 7th 2020","Wygers","KINGZZZ"
"Results for December 7th 2020","9INE","Elites"
"Results for December 7th 2020","Wisla Krakow","Izako Boars"
"Results for December 7th 2020","LDLC","9INE"
"Results for December 7th 2020","MAESTRO","Wygers"
"Results for December 7th 2020","Illuminar","KINGZZZ"
"Results for December 7th 2020","Dignitas","Apeks"
"Results for December 7th 2020","HONORIS","VRTX"
"Results for December 7th 2020","Vexed","Elites"
"Results for December 7th 2020","Illuminar","Heretics"
"Results for December 7th 2020","K23","ex-ETHEREAL"
"Results for December 7th 2020","Saints","VRTX"
"Results for December 7th 2020","Lilmix","PACT"
"Results for December 7th 2020","Endpoint","forZe"
"Results for December 7th 2020","AVEZ","Copenhagen Flames"
"Results for December 7th 2020","x6tence","ALTERNATE aTTaX"
"Results for December 7th 2020","Endpoint","Budapest Five"
"Results for December 7th 2020","Unique","HONORIS"
"Results for December 7th 2020","forZe","Illuminar"
"Results for December 7th 2020","Espada","Saints"
"Results for December 7th 2020","paiN","Mythic"
"Results for December 7th 2020","Chaos","TeamOne"
"Results for December 7th 2020","Havan Liberty","SEVERE"
"Results for December 7th 2020","PACT","Illuminar"
"Results for December 7th 2020","Mythic","GGPR"
"Results for December 6th 2020","paiN","RBG"
"Results for December 6th 2020","Virtus.pro","OG"
"Results for December 6th 2020","TheDice","webSPELL"
"Results for December 6th 2020","OPAA","Poland"
"Results for December 6th 2020","Astralis","mousesports"
"Results for December 6th 2020","Poland","Sinners"
"Results for December 6th 2020","OPAA","Worst Enemy"
"Results for December 6th 2020","flowskola","SJ"
"Results for December 6th 2020","MAESTRO","UBITEAM"
"Results for December 6th 2020","OG","fnatic"
"Results for December 6th 2020","ex-ETHEREAL","IN.GAME"
"Results for December 6th 2020","TheDice","MAESTRO"
"Results for December 6th 2020","IN.GAME","Invictus Int"
"Results for December 6th 2020","ViCi","TIGER"
"Results for December 6th 2020","Renegades","ORDER"
"Results for December 6th 2020","OG","MIBR"
"Results for December 6th 2020","TeamOne","Rebirth"
"Results for December 5th 2020","PACT","HONORIS"
"Results for December 5th 2020","Chaos","Yeah"
"Results for December 5th 2020","Virtus.pro","fnatic"
"Results for December 5th 2020","Lilmix","fightclub"
"Results for December 5th 2020","webSPELL","UBITEAM"
"Results for December 5th 2020","Apeks","Bifrost"
"Results for December 5th 2020","Illuminar","Izako Boars"
"Results for December 5th 2020","Movistar Riders","Giants"
"Results for December 5th 2020","Lyngby Vikings","LDLC"
"Results for December 5th 2020","Bifrost","777"
"Results for December 5th 2020","flowskola","AURA"
"Results for December 5th 2020","Astralis","FURIA"
"Results for December 5th 2020","Movistar Riders","Queso"
"Results for December 5th 2020","Invictus Int","BEZ ZP"
"Results for December 5th 2020","mousesports","GODSENT"
"Results for December 5th 2020","Espada","HellRaisers"
"Results for December 5th 2020","Apeks","Oilers"
"Results for December 5th 2020","Giants","Real Betis"
"Results for December 5th 2020","ex-ETHEREAL","IN.GAME"
"Results for December 5th 2020","TIGER","TYLOO"
"Results for December 5th 2020","Renegades","AVANT"
"Results for December 5th 2020","Yeah","Mythic"
"Results for December 5th 2020","fightclub","AURA"
"Results for December 4th 2020","HONORIS","AVEZ"
"Results for December 4th 2020","Rebirth","Triumph"
"Results for December 4th 2020","Lilmix","flowskola"
"Results for December 4th 2020","Izako Boars","Wisla Krakow"
"Results for December 4th 2020","OG","BIG"
"Results for December 4th 2020","Astralis","Gambit"
"Results for December 4th 2020","FURIA","Complexity"
"Results for December 4th 2020","MIBR","MAD Lions"
"Results for December 4th 2020","GODSENT","Heroic"
"Results for December 4th 2020","HellRaisers","Winstrike"
"Results for December 4th 2020","mousesports","Cloud9"
"Results for December 4th 2020","TYLOO","Invictus"
"Results for December 4th 2020","AVANT","Chiefs"
"Results for December 4th 2020","Yeah","GGPR"
"Results for December 4th 2020","Yeah","New England Whalers"
"Results for December 3rd 2020","Triumph","Rugratz"
"Results for December 3rd 2020","fnatic","MIBR"
"Results for December 3rd 2020","GODSENT","North"
"Results for December 3rd 2020","x6tence","KOVA"
"Results for December 3rd 2020","Astralis","G2"
"Results for December 3rd 2020","Sangal","Movistar Riders"
"Results for December 3rd 2020","Virtus.pro","BIG"
"Results for December 3rd 2020","x6tence","Lyngby Vikings"
"Results for December 3rd 2020","Complexity","FaZe"
"Results for December 3rd 2020","Espada","Copenhagen Flames"
"Results for December 3rd 2020","Cloud9","Spirit"
"Results for December 3rd 2020","Izako Boars","KOVA"
"Results for December 3rd 2020","KOVA","x6tence"
"Results for December 3rd 2020","Izako Boars","Lyngby Vikings"
"Results for December 3rd 2020","ViCi","TIGER"
"Results for December 3rd 2020","ORDER","Renegades"
"Results for December 3rd 2020","SKDC","ex-Thunder Logic"
"Results for December 3rd 2020","TeamOne","Mythic"
"Results for December 2nd 2020","Chaos","Rebirth"
"Results for December 2nd 2020","flowskola","Prima"
"Results for December 2nd 2020","OG","Dignitas"
"Results for December 2nd 2020","FURIA","G2"
"Results for December 2nd 2020","Apeks","Nexus"
"Results for December 2nd 2020","mousesports","GODSENT"
"Results for December 2nd 2020","MAD Lions","Envy"
"Results for December 2nd 2020","Apeks","TheDice"
"Results for December 2nd 2020","North","Nemiga"
"Results for December 2nd 2020","Astralis","Liquid"
"Results for December 2nd 2020","Copenhagen Flames","Nexus"
"Results for December 2nd 2020","HellRaisers","SJ"
"Results for December 2nd 2020","Nexus","Apeks"
"Results for December 2nd 2020","ViCi","Invictus"
"Results for December 2nd 2020","Copenhagen Flames","TheDice"
"Results for December 2nd 2020","ORDER","AVANT"
"Results for December 2nd 2020","GGPR","Rise"
"Results for December 2nd 2020","Mythic","New England Whalers"
"Results for December 2nd 2020","TeamOne","Yeah"
"Results for December 1st 2020","Heroic","Spirit"
"Results for December 1st 2020","AURA","Lemondogs"
"Results for December 1st 2020","MIBR","OG"
"Results for December 1st 2020","Gambit","Complexity"
"Results for December 1st 2020","Lilmix","GameAgents"
"Results for December 1st 2020","FaZe","c0ntact"
"Results for December 1st 2020","Cloud9","ENCE"
"Results for December 1st 2020","fnatic","Dignitas"
"Results for December 1st 2020","Lilmix","4glory"
"Results for December 1st 2020","G2","Nemiga"
"Results for December 1st 2020","ex-ETHEREAL","GameAgents"
"Results for December 1st 2020","FURIA","North"
"Results for December 1st 2020","Winstrike","Movistar Riders"
"Results for December 1st 2020","TIGER","TYLOO"
"Results for December 1st 2020","ex-ETHEREAL","4glory"
"Results for December 1st 2020","GameAgents","Lilmix"
"Results for December 1st 2020","Renegades","Chiefs"
"Results for December 1st 2020","Yeah","paiN"
"Results for December 1st 2020","Rebirth","Triumph"
"Results for December 1st 2020","Chaos","Rugratz"
"Results for November 30th 2020","Complexity","ENCE"
"Results for November 30th 2020","BIG","Envy"
"Results for November 30th 2020","Movistar Riders","Winstrike"
"Results for November 30th 2020","Gambit","Cloud9"
"Results for November 30th 2020","GODSENT","Astralis"
"Results for November 30th 2020","mousesports","Liquid"
"Results for November 30th 2020","Illuminar","SG.pro"
"Results for November 30th 2020","Virtus.pro","MAD Lions"
"Results for November 30th 2020","Copenhagen Flames","Izako Boars"
"Results for November 30th 2020","Illuminar","DUSTY"
"Results for November 30th 2020","Spirit","FaZe"
"Results for November 30th 2020","Saints","SG.pro"
"Results for November 30th 2020","Heroic","c0ntact"
"Results for November 30th 2020","Saints","Illuminar"
"Results for November 30th 2020","SG.pro","DUSTY"
"Results for November 30th 2020","Infinity","Estral"
"Results for November 30th 2020","Yeah","ex-Cloud9"
"Results for November 30th 2020","paiN","Depth"
"Results for November 29th 2020","mousesports","Cloud9"
"Results for November 29th 2020","Cyber Legacy","Winstrike"
"Results for November 29th 2020","Valhalla","100PG"
"Results for November 29th 2020","AGO","Saints"
"Results for November 29th 2020","Gambit","Spirit"
"Results for November 29th 2020","Movistar Riders","x6tence"
"Results for November 29th 2020","Elites","Reply Totem"
"Results for November 29th 2020","NAVI Junior","Lilmix"
"Results for November 29th 2020","FURIA","Liquid"
"Results for November 29th 2020","Valhalla","ROYALS"
"Results for November 29th 2020","100PG","ECLOT"
"Results for November 29th 2020","Espada","NAVI Junior"
"Results for November 29th 2020","Infinity","Supremacy"
"Results for November 29th 2020","Estral","STMN"
"Results for November 28th 2020","Cloud9","Complexity"
"Results for November 28th 2020","Cyber Legacy","1WIN"
"Results for November 28th 2020","Gambit","AGF"
"Results for November 28th 2020","x6tence","Wizards"
"Results for November 28th 2020","4glory","EAGLES"
"Results for November 28th 2020","BIG","ALTERNATE aTTaX"
"Results for November 28th 2020","lvlUP","BLINK"
"Results for November 28th 2020","Winstrike","GamerLegion"
"Results for November 28th 2020","Movistar Riders","Real Betis"
"Results for November 28th 2020","Spirit","Illuminar"
"Results for November 28th 2020","Liquid","MIBR"
"Results for November 28th 2020","lvlUP","4glory"
"Results for November 28th 2020","Sprout","Unicorns of Love"
"Results for November 28th 2020","Lilmix","FATE"
"Results for November 28th 2020","BLINK","EAGLES"
"Results for November 28th 2020","NAVI Junior","AGO"
"Results for November 28th 2020","BOOM","Imperial"
"Results for November 27th 2020","Illuminar","Nemiga"
"Results for November 27th 2020","mousesports","Heroic"
"Results for November 27th 2020","Cyber Legacy","100PG"
"Results for November 27th 2020","BIG","Unicorns of Love"
"Results for November 27th 2020","1WIN","AVEZ"
"Results for November 27th 2020","FURIA","Virtus.pro"
"Results for November 27th 2020","AGF","Apeks"
"Results for November 27th 2020","GamerLegion","onlinerss"
"Results for November 27th 2020","Winstrike","Project Eversio"
"Results for November 27th 2020","ALTERNATE aTTaX","Sprout"
"Results for November 27th 2020","FATE","Marlian"
"Results for November 27th 2020","Lilmix","SG.pro"
"Results for November 27th 2020","Gambit","Nemiga"
"Results for November 27th 2020","SJ","SKADE"
"Results for November 27th 2020","AGO","Project X"
"Results for November 27th 2020","NAVI Junior","Giants"
"Results for November 27th 2020","Spirit","Apeks"
"Results for November 26th 2020","Heroic","Endpoint"
"Results for November 26th 2020","Illuminar","KOVA"
"Results for November 26th 2020","Unicorns of Love","ttc"
"Results for November 26th 2020","AGF","flowskola"
"Results for November 26th 2020","Liquid","MAD Lions"
"Results for November 26th 2020","Apeks","AGF"
"Results for November 26th 2020","Endpoint","Sprout"
"Results for November 26th 2020","Izako Boars","Giants"
"Results for November 26th 2020","Nemiga","KOVA"
"Results for November 26th 2020","ALTERNATE aTTaX","NLG"
"Results for November 26th 2020","Movistar Riders","ALTERNATE aTTaX"
"Results for November 26th 2020","Gambit","Illuminar"
"Results for November 26th 2020","Spirit","flowskola"
"Results for November 26th 2020","Fenrir","Forbidden"
"Results for November 26th 2020","Sylyx","LAKERS"
"Results for November 25th 2020","Tricked","Copenhagen Flames"
"Results for November 25th 2020","MIBR","FaZe"
"Results for November 25th 2020","Sprout","sAw"
"Results for November 25th 2020","Tricked","AGF"
"Results for November 25th 2020","Copenhagen Flames","ESIMED"
"Results for November 25th 2020","Cloud9","NiP"
"Results for November 25th 2020","mousesports","GODSENT"
"Results for November 25th 2020","really weird","Sylyx"
"Results for November 25th 2020","NAVI Junior","Lilmix"
"Results for November 25th 2020","Gambit","Nemiga"
"Results for November 25th 2020","Caught off Guard","Fenrir"
"Results for November 25th 2020","Nemiga","forZe"
"Results for November 25th 2020","Gambit","SKADE"
"Results for November 25th 2020","Rise","GSG9"
"Results for November 25th 2020","Yeah","GGPR"
"Results for November 25th 2020","Havan Liberty","9z"
"Results for November 24th 2020","FURIA","Isurus"
"Results for November 24th 2020","Sprout","Wisla Krakow"
"Results for November 24th 2020","ESIMED","Lyngby Vikings"
"Results for November 24th 2020","Sangal","Movistar Riders"
"Results for November 24th 2020","Tricked","Aalborg Rebels"
"Results for November 24th 2020","Virtus.pro","Spirit"
"Results for November 24th 2020","forZe","PACT"
"Results for November 24th 2020","Complexity","Sprout"
"Results for November 24th 2020","Nemiga","Giants"
"Results for November 24th 2020","SKADE","Wisla Krakow"
"Results for November 24th 2020","Gambit","Espada"
"Results for November 24th 2020","9z","Royal Republic"
"Results for November 24th 2020","Bravos","Meta"
"Results for November 23rd 2020","Sprout","HellRaisers"
"Results for November 23rd 2020","Endpoint","sAw"
"Results for November 23rd 2020","Wisla Krakow","Nexus"
"Results for November 23rd 2020","Winstrike","Budapest Five"
"Results for November 23rd 2020","Giants","Nexus"
"Results for November 23rd 2020","PACT","MBAPPEEK"
"Results for November 23rd 2020","SKADE","ALTERNATE aTTaX"
"Results for November 23rd 2020","Downfall","Control"
"Results for November 23rd 2020","Espada","SG.pro"
"Results for November 23rd 2020","Santos","Neverest"
"Results for November 23rd 2020","Chaos","Triumph"
"Results for November 23rd 2020","SWS","Bravos"
"Results for November 23rd 2020","Havan Liberty","9z"
"Results for November 22nd 2020","Wisla Krakow","forZe"
"Results for November 22nd 2020","DUSTY","HaFi–"
"Results for November 22nd 2020","Sinners","Entropiq"
"Results for November 22nd 2020","Espada","Apeks"
"Results for November 22nd 2020","Vitality","Natus Vincere"
"Results for November 22nd 2020","sAw","Sprout"
"Results for November 22nd 2020","Envy","Gen.G"
"Results for November 22nd 2020","Endpoint","Nexus"
"Results for November 22nd 2020","HellRaisers","Secret"
"Results for November 22nd 2020","Illuminar","Wisla Krakow"
"Results for November 22nd 2020","Apeks","K23"
"Results for November 22nd 2020","Espada","x6tence"
"Results for November 22nd 2020","Dignitas","forZe"
"Results for November 22nd 2020","Medieval","atputies"
"Results for November 22nd 2020","eSuba","ECLOT"
"Results for November 22nd 2020","Apeks","Sangal"
"Results for November 22nd 2020","K23","ex-ETHEREAL"
"Results for November 22nd 2020","x6tence","North"
"Results for November 22nd 2020","Espada","Lyngby Vikings"
"Results for November 22nd 2020","SJ","AGF"
"Results for November 22nd 2020","ViCi","TYLOO"
"Results for November 22nd 2020","Renegades","ORDER"
"Results for November 22nd 2020","Neverest","Coscu Army"
"Results for November 22nd 2020","Chaos","Evil Geniuses"
"Results for November 22nd 2020","Santos","DETONA Pound"
"Results for November 21st 2020","Wisla Krakow","PACT"
"Results for November 21st 2020","Endpoint","Secret"
"Results for November 21st 2020","Nexus","HellRaisers"
"Results for November 21st 2020","Entropiq","ECLOT"
"Results for November 21st 2020","sAw","forZe"
"Results for November 21st 2020","OG","Virtus.pro"
"Results for November 21st 2020","Vitality","Complexity"
"Results for November 21st 2020","Illuminar","AVEZ"
"Results for November 21st 2020","K23","Tricked"
"Results for November 21st 2020","Lyngby Vikings","Nexus"
"Results for November 21st 2020","Sinners","eSuba"
"Results for November 21st 2020","Natus Vincere","G2"
"Results for November 21st 2020","x6tence","VP.Prodigy"
"Results for November 21st 2020","Sangal","Budapest Five"
"Results for November 21st 2020","Sprout","Wisla Krakow"
"Results for November 21st 2020","BIG","MIBR"
"Results for November 21st 2020","TYLOO","Invictus"
"Results for November 21st 2020","ORDER","AVANT"
"Results for November 21st 2020","Rise","SKDC"
"Results for November 21st 2020","GSG9","ex-Thunder Logic"
"Results for November 21st 2020","Imperial","Havan Liberty"
"Results for November 21st 2020","Triumph","Liquid"
"Results for November 21st 2020","Sangal","ex-Mustang Crew"
"Results for November 21st 2020","Tricked","Fiat"
"Results for November 21st 2020","K23","Pompa"
"Results for November 21st 2020","Lyngby Vikings","Izako Boars"
"Results for November 21st 2020","Budapest Five","Invictus Int"
"Results for November 21st 2020","VP.Prodigy","Unique"
"Results for November 21st 2020","Nexus","9INE"
"Results for November 20th 2020","x6tence","AGO"
"Results for November 20th 2020","Vitality","Heroic"
"Results for November 20th 2020","fnatic","MAD Lions"
"Results for November 20th 2020","MBAPPEEK","Copenhagen Flames"
"Results for November 20th 2020","Complexity","BIG"
